OID,PID
199,998
200,1008
200,884
200,884
200,557
200,557
200,557
200,690
200,690
200,189
200,189
200,189
201,409
201,409
201,409
201,965
201,965
201,350
201,350
201,456
201,456
201,694
202,117
202,117
202,117
202,370
202,370
202,855
202,855
202,9
203,979
203,979
203,979
203,933
203,933
203,933
203,635
203,939
203,363
203,363
204,876
204,876
204,876
204,916
204,916
205,329
205,329
205,329
206,169
206,169
206,978
207,409
207,409
207,226
207,226
207,226
208,480
209,221
209,862
209,862
209,862
209,659
209,659
209,157
209,157
209,157
210,1023
210,218
210,218
210,430
210,430
210,430
210,816
210,821
210,821
210,821
211,831
211,831
211,831
212,91
212,91
212,672
212,672
213,46
213,119
213,119
213,340
213,340
213,340
213,820
213,901
214,268
214,987
214,987
214,987
214,205
215,536
215,536
215,536
216,767
216,767
217,4
217,4
217,701
218,673
218,240
218,240
218,240
218,983
218,983
218,983
218,708
218,708
218,827
218,827
218,827
219,1005
219,1005
219,1005
219,439
220,636
220,636
220,627
220,627
220,481
220,481
220,331
220,331
220,389
220,389
221,179
221,148
221,148
222,243
222,573
222,573
222,307
222,307
223,266
223,266
223,500
223,500
224,854
224,527
224,527
224,500
224,500
224,500
224,780
224,780
224,540
225,578
225,578
225,578
225,476
225,476
225,476
226,54
226,54
226,536
226,536
226,852
226,609
226,609
226,515
226,515
226,515
227,118
227,118
227,80
227,80
227,326
228,106
228,106
228,496
228,496
228,496
228,175
228,175
228,175
228,960
228,960
228,435
229,727
229,924
229,924
229,924
229,705
229,705
229,705
229,426
230,786
230,786
231,634
231,634
231,634
232,396
233,326
233,1013
233,1013
233,940
233,940
233,745
233,835
234,302
235,588
235,588
235,324
235,324
235,324
235,324
236,31
236,31
236,426
236,426
236,426
236,680
236,257
237,427
237,196
237,196
237,426
237,426
237,242
237,687
238,135
238,340
238,340
238,804
238,804
238,804
238,311
238,311
238,311
238,581
239,90
239,90
239,90
239,79
239,79
239,196
239,818
239,818
239,818
240,323
240,323
240,323
240,711
240,936
240,936
240,936
240,37
240,37
240,381
241,673
241,673
241,442
241,442
241,442
242,39
242,39
242,393
242,930
242,930
242,930
242,638
242,603
243,225
243,225
243,670
244,421
244,421
244,736
244,736
244,585
244,585
244,585
244,208
244,35
244,35
244,35
245,520
245,520
245,1018
245,1018
245,1018
245,483
245,483
245,603
245,603
245,460
245,460
246,737
246,737
246,892
246,892
246,892
246,495
246,495
246,108
246,844
247,973
247,973
247,339
247,339
247,94
247,66
248,210
249,3
249,3
249,405
249,405
249,405
250,359
250,359
250,359
250,857
250,729
250,729
250,729
251,192
251,812
251,812
251,602
251,602
251,602
252,789
252,162
252,74
252,74
253,92
253,92
253,92
253,29
253,29
253,91
254,548
254,548
254,776
254,776
254,776
254,174
254,174
254,348
254,348
254,670
255,616
255,616
255,616
255,736
255,736
255,736
255,521
255,521
255,521
255,82
256,693
256,324
256,324
256,324
256,356
256,543
256,543
256,543
257,717
257,717
257,717
257,423
257,785
257,785
257,785
257,956
258,1000
258,1000
258,1021
258,1021
258,824
258,824
259,314
259,314
259,314
260,379
260,379
260,379
261,566
261,487
261,487
261,487
261,833
261,833
261,715
261,620
261,620
262,655
262,655
262,655
262,665
262,665
262,770
262,770
263,1015
263,1015
263,1015
263,1003
264,347
264,347
264,869
264,869
264,869
264,256
264,256
264,256
265,459
265,43
265,725
265,725
265,725
265,76
265,76
265,76
265,310
266,860
266,860
266,860
267,982
267,478
267,478
267,918
267,918
267,918
267,999
267,999
267,999
268,615
268,615
268,615
268,445
268,445
268,467
268,467
268,467
268,189
268,189
269,407
269,407
269,407
269,146
269,146
269,146
269,212
269,212
269,212
269,725
269,725
269,725
270,903
270,903
270,498
270,498
270,238
270,238
270,238
270,487
270,487
270,487
270,494
270,494
271,75
271,75
271,75
272,291
272,291
273,849
273,697
273,697
273,697
273,462
273,742
273,680
274,102
274,314
274,314
274,314
274,1004
274,1004
274,1004
275,767
275,767
275,261
275,261
275,706
275,706
276,730
276,730
277,345
277,345
278,437
278,437
278,996
278,658
278,658
278,658
279,640
279,640
279,325
279,325
279,325
279,560
279,560
279,560
279,97
279,97
280,260
280,260
280,260
280,295
280,295
280,847
280,216
280,528
280,528
281,697
281,697
281,697
282,384
282,384
282,446
282,446
282,1001
282,1001
283,626
283,626
283,174
283,174
283,174
283,48
283,48
284,763
284,969
284,969
284,715
284,715
284,715
284,350
284,350
284,350
285,631
285,631
285,631
286,333
286,738
286,799
286,799
286,799
287,722
287,722
287,834
287,629
287,629
287,35
288,534
288,294
288,294
288,294
289,633
289,633
289,633
290,978
290,978
290,411
290,224
290,888
290,888
290,888
290,210
290,210
290,210
291,842
291,842
291,842
291,481
291,481
291,800
291,800
291,800
291,758
292,140
292,140
292,910
292,726
292,726
293,755
293,584
293,584
293,584
293,725
293,725
293,725
293,215
293,215
293,215
294,294
294,459
294,417
294,417
294,753
294,28
295,248
295,158
295,553
295,976
296,767
296,434
296,434
296,434
296,113
297,933
298,17
298,730
298,730
298,436
299,428
299,428
299,428
299,94
299,94
299,94
299,597
299,597
299,597
299,666
300,530
300,530
300,530
300,716
300,555
300,555
301,507
301,507
301,507
301,764
301,484
301,484
301,785
301,785
301,713
301,713
301,713
302,908
302,253
302,253
302,793
302,132
302,132
302,132
303,72
303,72
303,108
303,354
304,505
304,505
304,505
304,818
304,818
305,757
305,757
305,757
306,241
306,241
306,241
306,95
306,95
306,95
306,896
307,714
307,457
307,457
308,451
308,945
309,123
309,585
309,472
310,637
310,567
310,567
310,90
310,90
310,90
310,868
311,425
311,425
311,424
311,424
311,765
311,765
311,765
312,807
312,159
313,899
313,311
313,311
313,734
313,734
313,734
313,165
313,165
313,854
313,854
313,854
314,395
314,784
314,103
314,103
315,181
316,992
316,718
316,718
316,867
316,516
317,612
317,612
317,612
317,439
318,850
318,440
318,440
318,440
318,289
318,289
318,289
318,852
318,852
319,534
319,534
319,487
319,487
319,487
319,493
319,493
319,493
320,386
320,386
320,794
320,794
321,687
321,305
321,305
321,305
322,786
322,594
322,594
323,223
323,223
323,608
323,608
323,292
323,292
323,299
323,246
323,246
323,246
324,741
324,741
324,516
324,516
324,516
324,789
324,722
324,835
325,801
325,801
325,801
325,755
325,777
325,777
325,744
325,744
325,744
326,924
327,838
327,838
327,838
327,770
327,770
327,770
327,495
327,495
327,657
327,657
327,657
327,264
327,264
328,129
328,129
328,415
328,415
328,750
328,750
328,202
328,697
329,796
329,796
329,416
329,416
329,416
329,675
329,675
329,352
329,352
329,891
330,565
330,565
330,27
330,27
330,27
331,886
331,508
331,508
331,684
331,684
331,508
331,508
331,659
331,659
332,350
333,72
333,733
333,733
333,733
333,955
334,763
334,71
335,419
335,419
335,419
335,919
335,919
335,919
335,289
335,289
335,289
335,431
335,431
335,654
336,679
336,96
336,96
336,96
337,543
337,743
337,743
337,743
338,209
338,611
338,611
338,611
338,125
338,125
338,125
339,806
339,43
339,43
339,656
339,656
339,526
339,526
340,295
340,295
340,190
340,842
341,848
341,848
341,359
341,359
342,392
342,392
342,392
342,996
342,996
342,485
342,485
343,460
343,460
343,520
343,520
343,890
343,994
343,994
343,994
344,740
344,18
344,18
344,996
344,996
344,1016
345,498
345,654
345,114
345,114
345,114
345,568
345,568
345,568
346,995
346,995
346,995
346,201
346,201
346,339
346,910
346,910
346,910
346,303
347,448
347,78
347,78
347,78
347,985
347,985
347,207
348,103
348,103
348,592
348,592
348,592
348,608
349,576
350,524
350,524
350,734
350,734
350,216
350,216
350,259
350,259
350,259
351,29
351,105
351,511
351,511
351,511
351,357
352,842
352,842
352,842
352,806
352,806
352,806
352,288
352,773
353,433
353,745
353,745
353,414
353,414
353,414
353,956
353,956
353,956
354,506
354,463
354,463
354,126
354,238
354,238
354,403
354,403
354,403
355,24
355,858
355,858
356,709
356,709
357,403
357,403
357,543
357,543
357,543
358,356
358,356
358,356
358,59
358,59
358,59
358,195
358,26
358,26
359,62
359,62
359,62
360,595
361,343
361,541
361,541
361,252
361,252
361,764
361,764
362,77
362,77
362,77
362,436
362,436
362,436
362,597
362,597
362,25
362,25
362,430
362,430
363,315
363,315
364,214
364,214
364,223
364,223
364,223
364,960
364,960
364,960
364,405
364,405
364,405
365,727
365,727
366,308
366,308
366,308
366,522
366,522
366,522
367,633
367,633
367,633
367,258
367,258
367,258
367,594
368,148
369,1016
369,1016
370,811
370,906
370,906
370,906
371,475
371,155
372,205
372,205
372,205
372,79
372,231
372,231
372,810
372,810
372,810
373,459
373,918
373,918
373,963
373,87
373,277
373,277
374,103
374,103
374,103
374,44
374,44
374,44
374,429
374,429
374,429
374,445
374,445
374,445
374,523
374,523
374,523
375,565
375,565
375,565
375,630
375,630
375,630
375,143
375,143
375,740
375,740
375,740
376,382
376,382
376,382
376,175
376,324
376,473
376,829
376,829
377,294
377,294
377,294
377,293
377,293
377,293
377,137
377,720
377,720
377,445
377,445
378,362
378,362
378,640
378,640
378,998
378,259
379,709
379,340
379,340
379,929
379,929
379,457
379,457
380,190
380,875
380,3
380,3
381,532
381,532
381,532
381,714
381,929
381,929
381,258
381,258
382,924
382,924
382,594
382,594
383,315
383,315
383,315
383,712
383,319
384,854
384,854
385,959
385,959
385,959
385,472
385,472
385,472
385,989
385,989
385,989
385,29
386,770
386,770
386,770
386,503
386,503
386,261
386,261
386,839
386,839
386,247
386,247
386,247
387,42
387,42
388,564
388,564
388,896
388,32
388,1019
388,1019
388,749
389,202
389,202
389,202
389,378
390,418
390,418
390,418
390,706
390,706
390,706
391,82
391,82
391,1013
391,1013
392,555
392,555
392,555
392,674
392,674
392,64
392,64
392,64
392,846
392,846
392,975
392,975
392,975
393,200
393,200
393,200
393,428
393,642
393,642
394,644
395,503
395,503
395,319
395,319
395,319
396,180
396,180
396,180
397,111
398,421
398,421
398,487
398,487
398,487
398,246
398,212
399,406
399,206
399,206
399,504
399,504
399,504
399,879
399,879
399,169
399,169
399,169
400,817
400,817
400,101
400,128
400,128
400,128
400,685
400,685
401,219
401,909
401,673
401,673
401,673
401,725
402,992
402,992
402,992
402,678
402,678
402,678
403,618
404,524
404,524
404,524
404,555
404,555
404,482
404,110
404,110
404,110
404,812
404,812
405,11
405,11
405,11
405,928
405,636
405,143
405,143
405,143
406,343
406,106
406,106
406,106
406,446
407,431
407,431
407,431
407,905
407,905
407,905
408,536
408,536
408,536
408,291
408,291
408,291
409,878
409,261
409,261
409,261
409,80
409,80
409,581
409,581
409,581
409,549
409,549
409,549
410,62
410,62
410,62
410,115
411,345
411,345
412,398
413,48
413,403
413,403
413,665
413,665
413,665
413,819
413,581
414,458
414,458
414,813
414,813
414,813
414,241
414,241
415,987
416,830
416,320
416,320
416,591
416,591
416,591
416,51
417,49
418,385
418,385
418,175
419,578
419,578
419,180
420,615
420,615
420,615
421,46
421,559
421,559
421,559
421,576
421,576
421,576
422,529
422,529
422,282
422,282
422,678
422,678
422,780
422,780
423,1010
423,1010
423,1010
424,218
424,218
424,508
424,508
424,958
424,958
424,958
424,225
424,225
424,225
424,893
424,893
424,893
425,344
425,344
425,636
425,8
425,8
425,8
425,98
426,750
426,593
426,593
426,583
426,583
426,583
427,334
427,334
427,334
427,1012
427,143
428,581
428,581
428,133
428,308
428,308
428,308
428,624
428,624
429,524
429,524
430,221
430,314
430,878
430,878
430,878
430,445
431,587
431,587
431,544
431,544
431,739
431,739
431,739
431,184
431,184
431,219
431,219
431,219
432,238
432,238
433,613
433,613
433,613
433,41
433,41
433,41
433,790
433,790
433,790
433,491
433,491
433,491
433,878
433,878
433,878
434,493
434,300
434,808
434,808
435,179
435,179
435,179
435,712
435,712
435,712
436,432
436,432
436,432
437,689
437,689
437,714
438,479
438,1027
438,1027
438,832
438,832
438,597
438,597
439,375
439,375
439,166
439,166
439,699
439,699
439,699
440,707
440,707
440,1010
440,1010
440,64
440,64
440,665
440,148
440,148
440,148
441,764
441,764
441,764
441,44
441,44
441,44
442,41
442,14
442,547
442,547
442,547
442,97
442,97
443,700
443,700
443,528
443,528
443,528
444,26
444,26
444,200
444,200
444,561
444,561
445,657
445,617
445,617
446,63
446,128
446,437
446,437
446,334
446,334
447,408
447,408
447,408
447,320
447,320
447,811
447,666
448,405
448,405
448,73
448,73
448,73
449,231
449,231
449,957
449,300
449,300
449,300
450,633
450,633
450,513
450,513
451,557
451,337
451,337
451,337
451,511
451,511
451,511
451,284
452,309
452,309
452,341
452,341
453,451
453,292
453,292
453,599
453,599
453,599
453,851
453,851
453,851
454,183
454,183
454,873
454,873
454,873
454,264
454,264
454,264
454,646
454,646
455,762
456,290
456,290
456,906
456,906
456,906
456,958
456,958
456,958
457,121
457,625
457,625
457,625
458,435
458,435
458,435
458,308
458,308
458,308
458,892
458,428
459,956
459,735
459,735
460,522
460,522
460,522
460,778
460,778
460,930
460,930
460,930
460,164
460,164
460,164
460,127
460,127
461,368
461,368
461,850
461,850
462,821
462,821
462,821
462,130
462,142
462,725
462,725
462,725
462,565
462,565
462,565
463,455
463,455
463,762
463,762
463,86
463,699
464,890
464,890
464,675
464,675
465,27
465,27
465,27
465,456
465,456
465,97
465,97
465,97
465,403
465,403
465,403
465,976
466,280
466,280
466,214
466,214
466,300
466,300
466,188
467,37
467,37
467,37
467,645
467,356
467,356
467,356
467,581
467,581
467,54
467,54
467,54
468,958
468,958
468,980
468,604
468,604
468,604
468,219
469,877
469,877
469,877
469,841
469,680
469,680
469,680
469,918
469,918
470,769
470,769
470,769
470,567
470,567
470,860
470,860
470,223
470,236
470,236
470,236
471,995
472,739
472,739
472,851
472,851
473,492
473,492
473,704
473,704
473,704
473,35
473,35
474,113
474,113
474,113
474,628
474,628
474,1011
474,641
474,641
474,641
475,120
475,120
476,433
476,433
476,896
476,896
476,896
476,422
476,461
477,941
477,941
478,656
479,778
479,694
479,694
479,694
479,815
479,144
480,686
480,686
480,686
480,113
480,86
481,1000
481,1001
481,1001
481,1001
482,478
482,478
482,692
482,692
482,692
482,980
482,980
482,980
483,649
483,649
483,649
483,965
483,965
483,653
483,653
483,653
483,418
483,520
483,520
484,453
484,453
484,981
484,981
484,981
484,672
484,672
484,672
485,33
485,321
485,321
485,321
486,735
486,735
486,1006
486,1006
486,1006
486,774
486,774
486,774
486,32
486,32
486,358
486,358
486,358
487,798
487,798
488,314
488,314
488,16
489,904
489,904
489,483
489,483
489,297
489,297
489,297
489,956
489,956
489,770
489,770
490,673
490,438
490,232
491,560
491,560
491,238
491,238
491,238
491,703
491,703
491,540
491,540
491,775
492,181
492,253
492,371
492,371
492,371
493,264
493,264
493,264
494,657
494,657
494,406
494,406
494,280
494,280
494,280
495,256
495,256
495,341
495,795
495,795
495,795
496,376
496,207
496,207
496,297
496,297
496,993
496,993
497,39
497,39
497,39
497,144
497,144
498,368
498,368
498,368
498,364
498,364
498,364
498,120
498,120
498,120
499,472
499,472
499,288
499,288
499,288
499,185
499,185
499,506
499,506
499,506
500,203
500,203
500,395
500,395
500,395
500,491
500,491
500,491
501,209
501,209
501,693
501,693
501,693
501,642
501,642
501,642
501,235
502,860
502,860
503,386
503,386
504,701
504,701
505,447
505,747
505,747
505,1
505,1
505,1
505,270
505,270
505,270
505,932
505,932
505,932
506,91
506,267
506,367
506,750
506,750
506,750
507,656
507,656
507,656
507,931
507,931
508,961
508,961
508,439
508,589
508,24
508,567
508,567
508,567
509,253
509,253
510,745
510,745
510,745
510,611
510,611
510,209
510,209
511,6
511,208
511,208
511,208
511,671
512,87
512,352
512,275
512,275
512,275
512,266
512,923
512,923
513,662
513,605
513,966
513,653
513,653
513,653
513,323
513,323
514,157
514,157
514,157
514,434
514,456
515,491
515,491
515,491
515,435
515,435
515,435
515,353
515,884
515,884
516,895
516,617
516,617
517,776
517,776
517,649
517,649
517,649
517,73
517,73
518,854
518,854
518,716
518,999
518,790
518,790
518,790
518,283
519,875
519,875
519,875
519,191
519,191
519,191
520,679
520,679
520,556
520,903
520,903
520,903
520,672
520,144
520,144
521,502
521,502
521,502
521,596
521,596
521,596
522,285
522,285
522,285
522,101
523,650
524,119
524,119
524,119
524,837
524,837
524,837
524,510
524,510
524,510
524,674
524,674
525,471
525,471
525,872
525,872
525,872
525,881
525,881
525,881
525,692
525,692
526,413
526,413
526,96
526,96
526,480
526,480
527,751
527,751
527,114
527,8
528,862
528,862
528,505
528,505
528,505
528,187
528,187
528,187
528,202
528,567
528,567
529,514
529,514
529,421
529,817
529,20
529,20
529,20
530,623
531,609
531,609
531,33
531,33
531,907
531,674
531,674
531,674
532,248
532,248
532,231
532,231
532,948
533,1006
533,1006
533,861
533,861
533,861
533,286
533,268
533,268
534,927
534,927
534,567
534,567
534,486
534,486
534,486
534,164
534,527
535,225
535,225
536,678
536,217
536,217
536,217
536,706
536,706
536,706
536,703
536,703
536,703
536,871
536,871
536,871
537,799
537,799
537,370
538,979
538,835
539,23
539,23
539,23
539,327
539,327
539,327
540,336
540,336
540,336
540,582
540,582
540,582
540,14
540,61
540,61
541,859
541,859
541,106
541,106
541,106
541,835
541,835
541,835
541,437
541,437
541,437
541,734
541,734
542,846
542,746
542,746
542,746
542,738
543,972
543,972
543,972
544,896
544,896
544,560
544,78
544,78
544,78
545,5
545,5
545,5
545,465
545,383
546,686
546,686
546,686
546,623
546,623
546,710
546,710
546,861
546,861
546,259
547,787
547,787
547,421
547,421
547,192
547,192
547,862
547,862
547,862
547,910
547,910
547,910
548,328
548,328
548,486
548,486
549,168
549,767
549,767
550,493
550,493
550,31
550,31
551,313
551,898
552,663
552,663
552,663
552,997
552,906
552,906
552,148
552,148
552,148
552,569
553,30
553,30
553,74
553,74
553,74
553,938
553,938
553,938
553,200
553,200
553,200
554,373
554,373
554,182
554,182
554,249
554,217
554,310
554,310
555,622
555,353
555,353
555,353
555,463
555,463
555,463
555,441
555,78
556,431
556,431
556,431
557,824
557,824
557,824
558,636
558,636
558,254
559,214
559,702
559,714
559,783
560,489
561,931
561,931
562,19
562,19
563,20
563,214
563,136
563,136
563,136
563,369
563,369
563,76
563,76
564,33
565,36
565,36
565,36
565,915
565,915
565,820
565,820
566,946
566,946
566,946
567,576
567,576
567,576
567,929
567,590
567,590
567,590
567,696
567,696
568,641
568,641
568,641
568,100
568,104
568,104
568,908
568,908
568,908
568,137
568,137
569,355
569,472
569,496
569,496
569,996
570,665
570,665
570,665
570,1015
570,1015
570,1015
570,440
570,158
570,158
570,732
570,732
570,732
571,942
571,942
571,750
571,750
571,750
571,387
571,387
571,387
572,319
572,319
572,319
572,125
572,545
573,599
573,599
573,451
573,451
573,451
573,528
573,528
573,528
574,990
574,990
574,990
574,228
574,228
574,228
574,98
574,98
574,98
574,56
574,56
574,789
574,789
574,789
575,71
575,71
576,849
576,849
576,332
576,332
576,332
576,877
576,877
576,877
577,162
578,88
578,762
578,762
578,146
579,273
579,273
579,273
579,318
579,318
579,743
579,28
580,302
580,302
580,314
580,314
580,1014
580,1014
580,807
580,398
581,329
